,mouse,study,conc,pre.ret,pre.mn.ret,pre.prop.mn.ret,post.ret,post.mn.ret,post.prop.mn.ret,bm.ret,bm.mn.ret,prop.bm.mn.ret
JEF_4,JEF_4,1,0,19959,41,0.00205,19953,47,0.00235,19961,39,0.00195
JEF_11,JEF_11,1,0,19952,48,0.0024,19936,64,0.0032,19854,146,0.0073
JEF_20,JEF_20,1,0,NA,51,NA,19909,91,0.00455,19932,68,0.0034
JEF_25,JEF_25,1,0,19931,69,0.00345,19890,110,0.0055,19912,88,0.0044
JEF_32,JEF_32,1,0,19956,44,0.0022,19950,50,0.0025,19958,42,0.0021
JEF_34,JEF_34,1,0,19978,22,0.0011,19962,38,0.0019,19956,44,0.0022
JEF_38,JEF_38,1,0,20373,39,0.00191064079952969,19964,36,0.0018,19979,21,0.00105
JEF_39,JEF_39,1,0,19921,79,0.00395,19925,75,0.00375,19906,94,0.0047
JEF_42,JEF_42,1,0,19931,69,0.00345,19918,82,0.0041,NA,NA,NA
JEF_50,JEF_50,1,0,19931,69,0.00345,19921,79,0.00395,NA,NA,NA
JEF_58,JEF_58,1,0,19967,32,0.0016000800040002,19936,64,0.0032,19952,48,0.0024
JEF_62,JEF_62,1,0,19959,40,0.00200010000500025,19954,46,0.0023,19946,54,0.0027
JEF_76,JEF_76,1,0,19960,40,0.002,19925,75,0.00375,19966,34,0.0017
JEF_86,JEF_86,1,0,19959,41,0.00205,19947,53,0.00265,19889,111,0.00555
JEF_88,JEF_88,1,0,19959,41,0.00205,19935,65,0.00325,19870,130,0.0065
JEF_89,JEF_89,1,0,19963,37,0.00185,19954,46,0.0023,19949,51,0.00255
JEF_93,JEF_93,1,0,19964,36,0.0018,19953,47,0.00235,19920,80,0.004
JEF_94,JEF_94,1,0,19941,59,0.00295,19820,180,0.009,19036,413,0.0212350249370148
JEF_97,JEF_97,1,0,19951,49,0.00245,19918,82,0.0041,19893,107,0.00535
JEF_98,JEF_98,1,0,19924,76,0.0038,19925,75,0.00375,19904,96,0.0048
JEF_99,JEF_99,1,0,19959,41,0.00205,19898,102,0.0051,19926,74,0.0037
JEF_111,JEF_111,1,0,19955,45,0.00225,19949,51,0.00255,19931,69,0.00345
JEF_115,JEF_115,1,0,19906,94,0.0047,19913,87,0.00435,19901,99,0.00495
JEF_120,JEF_120,1,0,19952,48,0.0024,19919,81,0.00405,19943,57,0.00285
JEF_125,JEF_125,1,0,19904,96,0.0048,19942,58,0.0029,19980,20,0.001
JEF_127,JEF_127,1,0,19977,23,0.00115,19945,55,0.00275,19932,68,0.0034
JEF_131,JEF_131,1,0,19947,53,0.00265,19929,71,0.00355,19928,72,0.0036
JEF_139,JEF_139,1,0,19955,45,0.00225,19950,50,0.0025,19936,64,0.0032
